,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,-9.36899932425919,0.46301336311508645,0.673526593592599,0.6687389862284342,999.8333333333334,999.8333333333334,0.4
median,-9.516543534526804,,0.6752270373870658,0.6706297409123089,999.8333333333334,999.8333333333334,0.4
missforest,-13.356855257300603,0.5885186690130475,0.686705460111919,0.6822106497774177,999.8333333333334,999.8333333333334,0.4
softimpute,-33.534158010076254,0.6087131514865426,0.7505907538504957,0.7474333128434935,999.8333333333334,999.8333333333334,0.4
mice,-25.953328520556457,0.21889582472100236,0.8071398316374796,0.7733921323317939,999.8333333333334,999.8333333333334,0.4
knn,-13.825966136702954,0.25800809437018957,0.6946629292898612,0.6899714354823304,999.8333333333334,999.8333333333334,0.4
mean,-9.49978574904823,,0.6749930221878703,0.6704054155499954,999.8333333333334,999.8333333333334,0.4
factorization,-119.65313633074418,0.6227942532037914,0.7630500093885231,0.7607370658340491,999.8333333333334,999.8333333333334,0.4
sudoku,-9.335819992240442,0.462097748217204,0.6733669234598696,0.6685452000780554,1249.5,1249.5,0.5
factorization,-206.61572580614975,0.6493973192453341,0.7703697346479386,0.7679595874159816,1249.5,1249.5,0.5
missforest,-13.05877540495497,0.5892938247953122,0.6858767336886521,0.6815252035666596,1249.5,1249.5,0.5
softimpute,-34.24737034333335,0.6184030906288648,0.7510002475978831,0.7479369401967926,1249.5,1249.5,0.5
mice,-26.459947599283737,0.21476577734091284,0.806361880532215,0.7708149622602173,1249.5,1249.5,0.5
median,-9.517188013935348,,0.6751830073860084,0.6706281372439683,1249.5,1249.5,0.5
mean,-9.499787098586912,,0.6749476828171814,0.6704031293307063,1249.5,1249.5,0.5
knn,-13.977168527581105,0.25292681427699326,0.6950234103529193,0.6902263626194446,1249.5,1249.5,0.5
sudoku,-9.336087823623735,0.4603814142097541,0.673219170819265,0.6683257191766981,250.83333333333334,250.83333333333334,0.1
factorization,-31.132726037069418,0.5831701187263836,0.7495880286398311,0.7475558551868081,250.83333333333334,250.83333333333334,0.1
mice,-25.91936806562832,0.18250014819347926,0.8046944960250175,0.7721978921240705,250.83333333333334,250.83333333333334,0.1
missforest,-13.924590118215258,0.502474820951838,0.6866779841834068,0.6818612846210547,250.83333333333334,250.83333333333334,0.1
softimpute,-32.51078996391645,0.7934855182647469,0.7495344561566588,0.7465765390172473,250.83333333333334,250.83333333333334,0.1
median,-9.517581675802072,,0.6752826376149613,0.670638847938276,250.83333333333334,250.83333333333334,0.1
knn,-13.804668328948955,0.3150756521220315,0.6946836540862451,0.6898993606985693,250.83333333333334,250.83333333333334,0.1
mean,-9.499863896051197,,0.6750461036262266,0.6704130548168594,250.83333333333334,250.83333333333334,0.1
sudoku,-9.328436371675549,0.48436437504026963,0.6731383343170676,0.6683995636435546,500.5,500.5,0.2
mean,-9.499802683143958,,0.67490862900044,0.6704026516424056,500.5,500.5,0.2
median,-9.517357060472737,,0.675144359730221,0.6706276008162111,500.5,500.5,0.2
missforest,-13.903748046618437,0.5444597220937372,0.6874522588575934,0.682859832427341,500.5,500.5,0.2
softimpute,-32.82553945347798,0.780503236920925,0.7496888117348791,0.7467719399534065,500.5,500.5,0.2
factorization,-53.22797997497174,0.7090222646007444,0.7519659002831051,0.750531299093975,500.5,500.5,0.2
mice,-25.86473250033512,0.1894413754112544,0.8048650982476998,0.7717071646090123,500.5,500.5,0.2
knn,-14.214738869066364,0.2802784549604873,0.6949902996640022,0.6900100588268855,500.5,500.5,0.2
sudoku,-9.329751189700136,0.45718026327242267,0.6731550609440365,0.6682534974589784,750.1666666666666,750.1666666666666,0.3
missforest,-13.370709309351964,0.5660626107282691,0.6863147274412191,0.6819005775945802,750.1666666666666,750.1666666666666,0.3
softimpute,-33.09140778369933,0.5988768220059353,0.7503584751935093,0.7470638625031936,750.1666666666666,750.1666666666666,0.3
mean,-9.499810331572053,,0.6750647460953001,0.6704094067145151,750.1666666666666,750.1666666666666,0.3
median,-9.517125568540923,,0.675300183492134,0.670634305207591,750.1666666666666,750.1666666666666,0.3
knn,-13.716616271898738,0.2675033563816998,0.6945736447913436,0.6899393580899682,750.1666666666666,750.1666666666666,0.3
factorization,-67.24556803486136,0.6385826459318007,0.7566765544719621,0.7546849191017001,750.1666666666666,750.1666666666666,0.3
mice,-25.802226933215994,0.22556025730555934,0.8076090620313908,0.7757993935530729,750.1666666666666,750.1666666666666,0.3
