,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,1.0484718148721575,0.042328431322320205,0.028500430851478294,0.013468589346511973,25.21212283447216,25.21212283447216,0.4
missforest,1.1697327266359674,0.04417649125828862,0.05383757535247475,0.02635040880247815,25.21212283447216,25.21212283447216,0.4
softimpute,0.3881560879901011,0.04264408976207184,0.04649405165857507,0.019827779795445373,25.21212283447216,25.21212283447216,0.4
factorization,0.7991464834307301,0.041210496090120806,0.047818612981065156,0.022386747263046854,25.21212283447216,25.21212283447216,0.4
mean,0.09327379788178844,,0.047219201409019265,0.029084393763659133,25.21212283447216,25.21212283447216,0.4
median,0.12313128979807501,,0.05129435242273838,0.02151332415240361,25.21212283447216,25.21212283447216,0.4
mice,1.7480838224022617,0.050365345129727845,0.04305897828128209,0.029144038118568954,25.21212283447216,25.21212283447216,0.4
knn,0.9843209853419469,0.047705645734163575,0.03406716996294941,0.01609683460160604,25.21212283447216,25.21212283447216,0.4
sudoku,2.0695325064188683,0.04550968247341006,0.03675523786793403,0.015662408099127906,31.851365294973554,31.851365294973554,0.5
median,0.1303215681087121,,0.05130286546367839,0.02154987982149824,31.851365294973554,31.851365294973554,0.5
mean,0.10828376574326527,,0.04722639241531506,0.029169632694358932,31.851365294973554,31.851365294973554,0.5
missforest,5.4419205970064946,0.04537553155471795,0.0625996264603309,0.03341532027269611,31.851365294973554,31.851365294973554,0.5
softimpute,0.703997912299246,0.04184350294908691,0.045174064875526325,0.019411106035498,31.851365294973554,31.851365294973554,0.5
knn,1.912711806851898,0.04612693550823611,0.03456618425836063,0.016857473539492795,31.851365294973554,31.851365294973554,0.5
mice,4.0169232691254715,0.050118379350429405,0.04466663201876189,0.03244595054072781,31.851365294973554,31.851365294973554,0.5
factorization,2.347642520275608,0.04342422942480973,0.048269506949491225,0.023410468369276505,31.851365294973554,31.851365294973554,0.5
sudoku,0.24543575672786375,0.042835563103171936,0.01496757167606373,0.007975118154548494,4.261898878584762,4.261898878584762,0.1
knn,0.16012019707940983,0.04956476486503837,0.017460893502767166,0.009306184037805337,4.261898878584762,4.261898878584762,0.1
mean,0.08051341062877798,,0.03887005940520585,0.02579413456775708,4.261898878584762,4.261898878584762,0.1
missforest,0.09706498181018304,0.03038969025665736,0.024445085371167827,0.009003367878348507,4.261898878584762,4.261898878584762,0.1
softimpute,0.13453698189423668,0.04028172589721139,0.034976364749351715,0.016515158934375936,4.261898878584762,4.261898878584762,0.1
mice,2.5015111129079464,0.05239660860908207,0.03697856059649562,0.032284770888671405,4.261898878584762,4.261898878584762,0.1
median,0.11544093138474602,,0.04193808779156761,0.017643607581099986,4.261898878584762,4.261898878584762,0.1
factorization,0.28875787145015225,0.04241508669495192,0.03734960937096204,0.021988634169348733,4.261898878584762,4.261898878584762,0.1
sudoku,0.2142289217653459,0.043307697420959315,0.02306295587612039,0.01066092883011378,11.218391493093277,11.218391493093277,0.2
mice,0.753036671185262,0.05120826706240059,0.03637092916400833,0.03158814883245715,11.218391493093277,11.218391493093277,0.2
missforest,0.12210505974953885,0.03564769868875092,0.02663899464240263,0.01034165778553078,11.218391493093277,11.218391493093277,0.2
softimpute,0.09898130655584006,0.03874994515165025,0.04193553701302258,0.01815116411361499,11.218391493093277,11.218391493093277,0.2
median,0.11843242018899286,,0.0478961157592402,0.01951596865619285,11.218391493093277,11.218391493093277,0.2
knn,0.22885993481450137,0.04696922891593259,0.02364836674546794,0.011753445645916582,11.218391493093277,11.218391493093277,0.2
factorization,0.2819220978234892,0.04027843849003378,0.04368503227303663,0.022131629921503554,11.218391493093277,11.218391493093277,0.2
mean,0.08289670134376029,,0.04435509421336995,0.027681404641152544,11.218391493093277,11.218391493093277,0.2
sudoku,0.3446559455110052,0.045263635587091566,0.027989549342520292,0.011679584956309344,18.161744804918232,18.161744804918232,0.3
factorization,0.41011106990051704,0.0417558678295309,0.04755818293484666,0.023151347420440612,18.161744804918232,18.161744804918232,0.3
mice,1.0298473905285586,0.05025240676800673,0.041682232776001166,0.028193034977993883,18.161744804918232,18.161744804918232,0.3
missforest,0.45981818344742703,0.039490332120501286,0.04523510138731577,0.022074990576736387,18.161744804918232,18.161744804918232,0.3
softimpute,0.19954780983092532,0.04328523042979889,0.04649708539096119,0.01985969105187151,18.161744804918232,18.161744804918232,0.3
median,0.12146539836741296,,0.051327834386944826,0.021470245914582683,18.161744804918232,18.161744804918232,0.3
mean,0.08750472895209548,,0.04723626727265094,0.029032405723236496,18.161744804918232,18.161744804918232,0.3
knn,0.5220617059709726,0.049619459699874725,0.03256034072406104,0.01507447911956974,18.161744804918232,18.161744804918232,0.3
