,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,0.5289729790742699,0.7143287985487825,0.10421848603012385,0.049790484508487706,422.25,422.25,0.4
mean,-0.004782955119382698,,0.17230839788506183,0.10284551695134674,422.25,422.25,0.4
missforest,0.6492795212998524,0.804649005802793,0.08782658879904269,0.03550683724042387,422.25,422.25,0.4
softimpute,0.4052383610227503,0.6863061959700246,0.1369685286874438,0.06837378245988328,422.25,422.25,0.4
knn,0.42434110258983965,0.6655717910107211,0.11288664685643941,0.05354591102644923,422.25,422.25,0.4
factorization,0.2722193817659434,0.6199744455180852,0.1473102095299484,0.07669803190499928,422.25,422.25,0.4
mice,0.5064301911633128,0.7067754841234395,0.10338911811893459,0.06413335972754833,422.25,422.25,0.4
median,-0.08781178267393927,,0.1797705889637728,0.08119041844817383,422.25,422.25,0.4
sudoku,0.3308588441164787,0.5530552451062799,0.14177421561729786,0.06952076379691943,527.45,527.45,0.5
mean,-0.005625667050250915,,0.1706123196017612,0.10274770354942912,527.45,527.45,0.5
factorization,-0.10092363212570381,0.5252309976712786,0.16719775101866755,0.09138254135614703,527.45,527.45,0.5
median,-0.1055797760969915,,0.17936774254020574,0.08105395450670697,527.45,527.45,0.5
missforest,0.566530550128553,0.7509972801925733,0.09654568007370198,0.04085904204277492,527.45,527.45,0.5
softimpute,0.329423405414976,0.6386498645657659,0.14264257039561481,0.07271599840911351,527.45,527.45,0.5
mice,0.44362654034387194,0.6525244543673505,0.11846469268661922,0.07230581545020572,527.45,527.45,0.5
knn,0.2674434441825933,0.5189885172034057,0.1331025776782279,0.06768889603116558,527.45,527.45,0.5
sudoku,0.6558100495174948,0.8475397652013725,0.0831162546221799,0.03352296430121915,106.3,106.3,0.1
factorization,0.4605304002528773,0.7677133700309084,0.1404679768792388,0.06837741542584072,106.3,106.3,0.1
mean,-0.013853817191981293,,0.1941438185170275,0.10589418808942679,106.3,106.3,0.1
missforest,0.7225115888192978,0.8967273024167689,0.06538020988962108,0.024007583010440807,106.3,106.3,0.1
softimpute,0.5409973956217279,0.7964332440699737,0.1429113807938461,0.06303766434405489,106.3,106.3,0.1
knn,0.5564285498668294,0.7349494213946114,0.09469118718496869,0.040655549444873096,106.3,106.3,0.1
mice,0.24577345178894933,0.7760678092284646,0.09546622252089593,0.04915572599545408,106.3,106.3,0.1
median,-0.08475843242865189,,0.20186920599620733,0.08558081992189888,106.3,106.3,0.1
sudoku,0.6454137374262463,0.8042191714917635,0.08512391517652124,0.03753078321117922,210.1,210.1,0.2
missforest,0.7657185473577021,0.8854683588436985,0.06735146953630057,0.02530065776808082,210.1,210.1,0.2
softimpute,0.5124599943457528,0.7556219248819078,0.13074444506895916,0.06163068434194765,210.1,210.1,0.2
factorization,0.4917256406523672,0.7255566643139089,0.1294344981567816,0.06566390702945446,210.1,210.1,0.2
mice,0.48305805707453464,0.7591585581281002,0.09334926180009467,0.05505409389082232,210.1,210.1,0.2
median,-0.08816739033335749,,0.18454229475381267,0.0812920391914422,210.1,210.1,0.2
mean,-0.006254556171801995,,0.17728059693160086,0.10251815231406344,210.1,210.1,0.2
knn,0.5419035937964378,0.7314261598571191,0.09407864160003344,0.040683779901492675,210.1,210.1,0.2
sudoku,0.6088767571675551,0.7771917167771377,0.09209853832849743,0.04257204446895109,316.425,316.425,0.3
mice,0.46962926437356467,0.7256496758116124,0.09506855548283949,0.0591782021483311,316.425,316.425,0.3
median,-0.08734558676782293,,0.18191730600313744,0.0804332934310128,316.425,316.425,0.3
missforest,0.7233797114057726,0.8456201463730999,0.07564307502834526,0.029527256615484575,316.425,316.425,0.3
softimpute,0.4675900891946532,0.7255139922954085,0.13380416138278778,0.06400741252929948,316.425,316.425,0.3
knn,0.5130927905574634,0.7280918413031989,0.09708981433124507,0.044549882550145206,316.425,316.425,0.3
mean,-0.005482547788494291,,0.17474981576513565,0.10199973885449105,316.425,316.425,0.3
factorization,0.4304575885986557,0.6823538867617222,0.13557567895210565,0.06834790523182291,316.425,316.425,0.3
