,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,0.037034898633451066,0.02957720958393689,0.02627860108378059,0.009252545949472692,2.334729435815109,2.334729435815109,0.4
mean,0.0008290183121655555,,0.050548057742579734,0.026221940332998506,2.334729435815109,2.334729435815109,0.4
missforest,0.0371072913301381,0.02435256133274639,0.02165540471391078,0.006923058391890613,2.334729435815109,2.334729435815109,0.4
softimpute,0.04710584086385252,0.03485838776478777,0.04858308642958775,0.01663591831266087,2.334729435815109,2.334729435815109,0.4
knn,0.029542670763584283,0.02634194360317307,0.023296880881430133,0.008469426498852049,2.334729435815109,2.334729435815109,0.4
factorization,0.07325019168500856,0.033548099442226385,0.050785470216907276,0.01790712942966735,2.334729435815109,2.334729435815109,0.4
mice,0.04765148513160369,0.034172284248345286,0.023789494368398292,0.015616787875161922,2.334729435815109,2.334729435815109,0.4
median,0.01886056595115994,,0.052600010184855196,0.015230032604425877,2.334729435815109,2.334729435815109,0.4
sudoku,0.039412846429938656,0.03611923834778197,0.04522290457916091,0.016583143139346296,2.784331158465171,2.784331158465171,0.5
mean,0.00104358203139725,,0.048536410585264034,0.026633026923065958,2.784331158465171,2.784331158465171,0.5
factorization,0.13944409927926887,0.030231494599778485,0.04922021817410648,0.01720100196361337,2.784331158465171,2.784331158465171,0.5
median,0.022834911774293105,,0.05057927970820798,0.015140027445425636,2.784331158465171,2.784331158465171,0.5
missforest,0.037072625028557654,0.024976780348577896,0.020684496392117446,0.007496117915143299,2.784331158465171,2.784331158465171,0.5
softimpute,0.043714356965439405,0.03249055432669794,0.04692020726319832,0.016536227259716266,2.784331158465171,2.784331158465171,0.5
mice,0.03959250847733032,0.03363264420866744,0.03084683862587853,0.018949145154768733,2.784331158465171,2.784331158465171,0.5
knn,0.02318535108462724,0.025402861330110254,0.029977936150453178,0.012489203695205432,2.784331158465171,2.784331158465171,0.5
sudoku,0.06854995458094028,0.026781454248623073,0.0291435537015502,0.00753710793048385,1.6626361521267883,1.6626361521267883,0.1
factorization,0.11840882968873045,0.03518914188169088,0.07325010494343216,0.0270036763342051,1.6626361521267883,1.6626361521267883,0.1
mean,0.0031536230398783818,,0.07465009037365183,0.02934692169821442,1.6626361521267883,1.6626361521267883,0.1
missforest,0.08353562449210071,0.025898107120910237,0.018922407390169874,0.005374370504320938,1.6626361521267883,1.6626361521267883,0.1
softimpute,0.04707063089368007,0.02845613284935746,0.07003922241100768,0.02018527987440599,1.6626361521267883,1.6626361521267883,0.1
knn,0.04579099397164604,0.041358246917254156,0.021925128814099505,0.007339641952139891,1.6626361521267883,1.6626361521267883,0.1
mice,0.22114024785647463,0.03993827370124136,0.022928331795704786,0.011898029258727974,1.6626361521267883,1.6626361521267883,0.1
median,0.018883947210262937,,0.07726182964668704,0.019949057435181276,1.6626361521267883,1.6626361521267883,0.1
sudoku,0.05004883813376118,0.03274389112160055,0.023130634266639024,0.00705679021517167,2.136316023870568,2.136316023870568,0.2
missforest,0.04038565336485992,0.01711632669653253,0.016608060951430515,0.004594849168362537,2.136316023870568,2.136316023870568,0.2
softimpute,0.044862004571128856,0.033596984833734134,0.052081727820444505,0.015971453499399584,2.136316023870568,2.136316023870568,0.2
factorization,0.06959669110887909,0.036371944396522214,0.05469658361662559,0.020608625061087765,2.136316023870568,2.136316023870568,0.2
mice,0.08708771587427706,0.0340101691698624,0.020062498124655565,0.012552941292026826,2.136316023870568,2.136316023870568,0.2
median,0.01934144048739963,,0.05754946148430711,0.014990894083295417,2.136316023870568,2.136316023870568,0.2
mean,0.0011514690129597498,,0.055726673412014274,0.025496060319020828,2.136316023870568,2.136316023870568,0.2
knn,0.03602872581821451,0.03793635560863633,0.016270266791209305,0.005291113762932982,2.136316023870568,2.136316023870568,0.2
sudoku,0.038122819305595614,0.02617297024116749,0.02382244663103696,0.00761127181889945,2.452337320462528,2.452337320462528,0.3
mice,0.07877922821320862,0.036011679549143555,0.01969342668168527,0.013208004825039386,2.452337320462528,2.452337320462528,0.3
median,0.01850500093141999,,0.056101214472978445,0.014906913165584987,2.452337320462528,2.452337320462528,0.3
missforest,0.032179863119771925,0.02172410791760778,0.017711075929149812,0.0051396137244952,2.452337320462528,2.452337320462528,0.3
softimpute,0.04528797472297999,0.03373617884155589,0.05169774169859399,0.016140714427764963,2.452337320462528,2.452337320462528,0.3
knn,0.03106562095119916,0.02518610814841696,0.01583376780341891,0.005877238601216156,2.452337320462528,2.452337320462528,0.3
mean,0.0009708202278528804,,0.05426709549872114,0.025706630459933683,2.452337320462528,2.452337320462528,0.3
factorization,0.05896982722294392,0.03570745528721445,0.053772403030123414,0.018987343712363457,2.452337320462528,2.452337320462528,0.3
