,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
sudoku,95.91195906194794,0.12180234146362234,0.43308064753733994,0.40380373420891663,26.43665354467213,26.43665354467213,0.4
factorization,85.1460620523887,0.10841301979234338,0.6183784622401232,0.6173463368024742,26.43665354467213,26.43665354467213,0.4
mean,180.57665168042598,,0.614385386801177,0.6131512586512805,26.43665354467213,26.43665354467213,0.4
missforest,19.645664213397737,0.12685778851215784,0.22895052477010552,0.22357288030145864,26.43665354467213,26.43665354467213,0.4
softimpute,97.65472615690855,0.1049317685430207,0.6163866009687323,0.6150210410947783,26.43665354467213,26.43665354467213,0.4
knn,31.042910310907203,0.11305189121340456,0.2562381875549347,0.25012039252846024,26.43665354467213,26.43665354467213,0.4
median,193.79214483207267,,0.6303058288418903,0.6291355076209991,26.43665354467213,26.43665354467213,0.4
mice,56.292936192359925,0.1155320676555791,0.36248521251641364,0.3405041961786293,26.43665354467213,26.43665354467213,0.4
sudoku,97.38077943927007,0.11500617192940145,0.4262994765850204,0.4034077133417926,32.88289999649494,32.88289999649494,0.5
knn,27.810422523599453,0.1165208944903122,0.25625026684666224,0.25011049639352734,32.88289999649494,32.88289999649494,0.5
mean,180.5765808505525,,0.6143907986719219,0.6131478754352585,32.88289999649494,32.88289999649494,0.5
missforest,15.407128384053632,0.12148537830793545,0.22814031623681236,0.22369371839829844,32.88289999649494,32.88289999649494,0.5
softimpute,104.79196648876952,0.10350675265707963,0.6150902063216379,0.6136533081780771,32.88289999649494,32.88289999649494,0.5
median,193.79209529503288,,0.6303101719270805,0.6291342220811819,32.88289999649494,32.88289999649494,0.5
mice,64.61649321654387,0.11961804922345928,0.38281805097578264,0.3506982390442952,32.88289999649494,32.88289999649494,0.5
factorization,95.88938892063968,0.10303385502731746,0.6211261731715427,0.620148889281231,32.88289999649494,32.88289999649494,0.5
sudoku,86.34139193351025,0.11998373648741414,0.42406268077278003,0.39647916509949843,6.915775351900084,6.915775351900084,0.1
missforest,14.847593841906312,0.11692854959043375,0.21613248292883516,0.21118968257560503,6.915775351900084,6.915775351900084,0.1
softimpute,97.33788970473803,0.11073757379580453,0.608911258673923,0.6075052223482016,6.915775351900084,6.915775351900084,0.1
mean,180.57902834284224,,0.6144403750753733,0.6132343455451018,6.915775351900084,6.915775351900084,0.1
factorization,85.19727324175037,0.11186318196957468,0.6091513614409246,0.6080901659933692,6.915775351900084,6.915775351900084,0.1
knn,30.27832990385311,0.11869901382334808,0.26850337401572494,0.2600454541357146,6.915775351900084,6.915775351900084,0.1
mice,33.664401368519655,0.1163294849940372,0.33010325390199863,0.3177663019003228,6.915775351900084,6.915775351900084,0.1
median,193.7924534907717,,0.6302961170297406,0.6291417916191204,6.915775351900084,6.915775351900084,0.1
sudoku,82.03769627806801,0.12470627288260566,0.42546825682772477,0.39506708948402347,13.51499582609951,13.51499582609951,0.2
knn,29.503710396638045,0.11340693854213969,0.26853553307280176,0.26003189127238574,13.51499582609951,13.51499582609951,0.2
missforest,12.050021163878819,0.1147231496586206,0.21803792573419983,0.21298702100718744,13.51499582609951,13.51499582609951,0.2
softimpute,97.71681236775797,0.11467899354306482,0.6126835124545321,0.6113112673504717,13.51499582609951,13.51499582609951,0.2
mice,35.79139832838877,0.11733181552215197,0.3232599681194925,0.31003808386269144,13.51499582609951,13.51499582609951,0.2
factorization,85.56073294051828,0.1102890220157238,0.6115046567979407,0.6104334917827264,13.51499582609951,13.51499582609951,0.2
mean,180.5775456817392,,0.6144161468694825,0.6131838986885236,13.51499582609951,13.51499582609951,0.2
median,193.79199840263595,,0.630313138282956,0.6291382946014685,13.51499582609951,13.51499582609951,0.2
sudoku,90.89209296089521,0.12199043983744165,0.43410720612388326,0.4047089099399957,20.11527635775154,20.11527635775154,0.3
median,193.7921199184424,,0.6303198970801793,0.6291408428895977,20.11527635775154,20.11527635775154,0.3
mice,50.288031913158136,0.11056792584895662,0.33250412336016105,0.3189471415099148,20.11527635775154,20.11527635775154,0.3
missforest,23.35630999682493,0.1267707450578915,0.26665130254648767,0.25636090886960017,20.11527635775154,20.11527635775154,0.3
softimpute,98.33424121835138,0.10449998855073638,0.6160012049228712,0.6146505519113562,20.11527635775154,20.11527635775154,0.3
knn,29.14354812474866,0.11320838751124682,0.25629737510308115,0.25017195335505227,20.11527635775154,20.11527635775154,0.3
factorization,85.96263327021023,0.10709991843332334,0.6153010326270834,0.6143171060816722,20.11527635775154,20.11527635775154,0.3
mean,180.57669483650363,,0.6144017504927167,0.6131613550147806,20.11527635775154,20.11527635775154,0.3
