,algorithm,missingness_proportion,RMSE_qsar_mnar,RMSE_qsar_mcar,RMSE_qsar_mar,RMSE_eeg_mnar,RMSE_eeg_mcar,RMSE_arcene_mar,RMSE_eeg_mar,RMSE_arcene_mcar,RMSE_arcene_mnar
0,knn,0.1,0.725,0.095,0.1,0.695,0.003,0.225,0.006,0.191,1.209
1,mice,0.1,0.703,0.095,0.156,0.805,0.052,0.192,0.189,0.174,1.143
2,mean,0.1,1.201,0.194,0.159,0.675,0.004,0.28,0.007,0.259,1.316
3,factorization,0.1,1.063,0.14,0.117,0.75,0.017,0.208,0.083,0.184,1.199
4,sudoku,0.1,0.859,0.083,0.077,0.673,0.003,0.205,0.007,0.185,1.124
5,median,0.1,1.237,0.202,0.169,0.675,0.004,0.302,0.007,0.275,1.397
6,missforest,0.1,0.579,0.065,0.08,0.687,0.003,0.194,0.005,0.17,1.119
7,softimpute,0.1,1.089,0.143,0.113,0.75,0.067,0.246,0.293,0.22,1.307
8,mean,0.2,1.203,0.177,0.163,0.675,0.005,0.284,0.008,0.259,1.325
9,softimpute,0.2,1.096,0.131,0.127,0.75,0.094,0.25,0.258,0.226,1.33
10,factorization,0.2,1.069,0.129,0.136,0.752,0.032,0.216,0.085,0.189,1.238
11,mice,0.2,0.702,0.093,0.156,0.805,0.061,0.21,0.188,0.181,1.169
12,knn,0.2,0.735,0.094,0.112,0.695,0.004,0.23,0.008,0.204,1.225
13,sudoku,0.2,0.883,0.085,0.093,0.673,0.004,0.225,0.008,0.19,1.151
14,median,0.2,1.237,0.185,0.173,0.675,0.005,0.303,0.008,0.278,1.401
15,missforest,0.2,0.594,0.067,0.09,0.687,0.005,0.206,0.007,0.186,1.151
16,sudoku,0.3,0.894,0.092,0.107,0.673,0.007,0.225,0.008,0.201,1.175
17,median,0.3,1.236,0.182,0.178,0.675,0.007,0.315,0.008,0.284,1.407
18,knn,0.3,0.725,0.097,0.13,0.695,0.007,0.24,0.008,0.22,1.237
19,mice,0.3,0.719,0.095,0.16,0.808,0.093,0.222,0.217,0.191,1.18
20,missforest,0.3,0.655,0.076,0.124,0.686,0.006,0.229,0.008,0.199,1.162
21,softimpute,0.3,1.102,0.134,0.144,0.75,0.117,0.264,0.247,0.236,1.344
22,factorization,0.3,1.08,0.136,0.154,0.757,0.052,0.234,0.101,0.2,1.256
23,mean,0.3,1.203,0.175,0.169,0.675,0.007,0.295,0.008,0.264,1.331
24,softimpute,0.4,1.104,0.137,0.152,0.751,0.136,0.265,0.341,0.244,1.354
25,mean,0.4,1.204,0.172,0.169,0.675,0.008,0.293,0.011,0.268,1.335
26,knn,0.4,0.726,0.113,0.135,0.695,0.008,0.241,0.011,0.22,1.25
27,factorization,0.4,1.088,0.147,0.167,0.763,0.072,0.242,0.133,0.211,1.27
28,mice,0.4,0.757,0.103,0.155,0.807,0.028,0.232,0.047,0.201,1.188
29,median,0.4,1.237,0.18,0.178,0.675,0.008,0.314,0.011,0.289,1.411
30,missforest,0.4,0.616,0.088,0.141,0.687,0.007,0.247,0.01,0.223,1.176
31,sudoku,0.4,0.897,0.104,0.111,0.674,0.008,0.23,0.011,0.218,1.189
32,knn,0.5,0.725,0.133,0.145,0.695,0.008,0.253,0.011,0.232,1.251
33,factorization,0.5,1.103,0.167,0.19,0.77,0.094,0.262,0.156,0.225,1.284
34,mean,0.5,1.204,0.171,0.171,0.675,0.008,0.296,0.011,0.27,1.34
35,median,0.5,1.237,0.179,0.179,0.675,0.008,0.321,0.011,0.293,1.419
36,missforest,0.5,0.618,0.097,0.173,0.686,0.008,0.398,0.011,0.246,1.19
37,softimpute,0.5,1.107,0.143,0.167,0.751,0.151,0.275,0.321,0.253,1.366
38,sudoku,0.5,0.892,0.142,0.131,0.673,0.008,0.278,0.011,0.233,1.188
39,mice,0.5,0.785,0.118,0.178,0.806,0.028,0.258,0.042,0.228,1.197
