,R2,RMSE,missingness_prop
knn,0.2697201673974543,0.22512296668488932,0.1
softimpute,0.18412232858327887,0.24583285862497709,0.1
median,-0.41561630160283014,0.3021465795694523,0.1
mean,-0.2882479589109094,0.28020442081053304,0.1
sudoku,0.4407724939659345,0.20466043650567584,0.1
missforest,0.3234710666297451,0.19410798754503283,0.1
factorization,0.43062148393228256,0.20848067358877176,0.1
mice,0.5135385227981486,0.19172224402610505,0.1
mean,-0.6134362350371689,0.28366350176119426,0.2
missforest,-0.1791492879146752,0.20602994072464242,0.2
median,-0.4377771333499168,0.3032279039845498,0.2
mice,-0.3351844685290553,0.20950392266382434,0.2
factorization,-0.04321988429471412,0.2159275822367882,0.2
sudoku,0.20707485810734177,0.22501950691808817,0.2
knn,0.24872457611950696,0.230287524910821,0.2
softimpute,0.10877071752915578,0.2498294646049506,0.2
sudoku,0.3261196963703231,0.22548278281270923,0.3
mice,0.08748419654871337,0.2223836623095837,0.3
factorization,0.17719990018138926,0.23393233877958386,0.3
mean,-0.5091620244659045,0.2951089033496146,0.3
knn,0.2275840775347091,0.24022837767259422,0.3
median,-0.48104940087007614,0.31536943059718336,0.3
missforest,-15.401091980565017,0.22876436380602352,0.3
softimpute,0.08126467308623697,0.2639079050222182,0.3
mice,0.2394361581945414,0.2320431586265899,0.4
median,-0.5527612329937512,0.3143078315282563,0.4
mean,-0.43762376207174297,0.2929413193504263,0.4
knn,0.16947879493876494,0.24078105159824809,0.4
factorization,0.16885098485039637,0.2417071392946944,0.4
softimpute,0.014440961143500061,0.26524973162693927,0.4
missforest,-0.7418426081512749,0.24695083308712146,0.4
sudoku,0.2852649374753778,0.23034380313796285,0.4
mean,-0.490751387233636,0.29612560321266884,0.5
factorization,-0.10603541086463623,0.2618632814029997,0.5
softimpute,-0.13597450106944964,0.2751604641073188,0.5
missforest,-1.4945872693891236,0.39795334134775634,0.5
mice,-0.13341659191970562,0.25849719530238413,0.5
knn,0.051523648046232044,0.25316354630668825,0.5
sudoku,0.1647520762166311,0.27846416764056614,0.5
median,-0.7044900799251543,0.3205145640366635,0.5
