,R2,RMSE,missingness_prop
median,-0.1712710671685229,0.2749864836305178,0.1
softimpute,0.3009516873999695,0.219798057360622,0.1
mean,-0.011304217715771704,0.2593946208563373,0.1
knn,0.40351948636468865,0.19085967402189197,0.1
sudoku,0.48197592862747757,0.18460579109995298,0.1
mice,0.553904362526546,0.17391546240059594,0.1
factorization,0.4776770750223283,0.18366240261256653,0.1
missforest,0.4640872884443531,0.17017362438315464,0.1
factorization,0.4730323537841649,0.18906546476374733,0.2
mean,-0.007320672799077617,0.25890069916066194,0.2
softimpute,0.28172085169106786,0.22573257109792338,0.2
missforest,0.41417441824572804,0.18621371923982086,0.2
mice,0.5034850704911619,0.1813062628691444,0.2
sudoku,0.4703675554744738,0.1898305822417607,0.2
knn,0.38428682234150124,0.20377683009988246,0.2
median,-0.1722604525148703,0.2779942792262445,0.2
sudoku,0.4385739170552293,0.20059914630983114,0.3
median,-0.17105302422071098,0.28440950679910765,0.3
mice,0.4804973306881879,0.19131571400365965,0.3
factorization,0.46832714837422,0.20008438026110958,0.3
knn,0.38624783373579535,0.21965008237913647,0.3
missforest,0.4566947897968046,0.19888992389576166,0.3
mean,-0.005539809907035167,0.26409664879255484,0.3
softimpute,0.2538086128078125,0.23623772287752537,0.3
softimpute,0.22789890055431772,0.24448890689601752,0.4
factorization,0.44289940771055697,0.21057415257944928,0.4
mean,-0.0050537823055215965,0.267742793992927,0.4
mice,0.4425058225827678,0.20059205240949404,0.4
knn,0.38521053402507827,0.21966216121857896,0.4
median,-0.17108533591069414,0.2889035568521877,0.4
missforest,0.4256618324477777,0.22283648912000675,0.4
sudoku,0.4179806731212736,0.21847046133568937,0.4
median,-0.17187750360919682,0.2930603486926535,0.5
mean,-0.004157119342267743,0.270336905048493,0.5
missforest,0.372876178227207,0.24567705991308803,0.5
softimpute,0.18983476496221818,0.2533552697359272,0.5
factorization,0.38675706176929064,0.22469032949174694,0.5
knn,0.3433771606775109,0.2320169320451167,0.5
sudoku,0.3307145848210917,0.23347855607312926,0.5
mice,0.3848651975948919,0.2284395079703056,0.5
