,R2,RMSE,missingness_prop
knn,-21.450677025454937,1.2089786301093353,0.1
mice,-16.070294597971365,1.1427941108731616,0.1
mean,-37.767710026484714,1.3157049181588678,0.1
factorization,-17.795588499866337,1.1990558823327933,0.1
sudoku,-15.895597097169755,1.124032927447062,0.1
median,-43.45661149651209,1.3966542209956367,0.1
missforest,-14.343368400635665,1.1187179860424858,0.1
softimpute,-30.62736025301263,1.307427215089579,0.1
mean,-38.14166777734457,1.3245766234967953,0.2
softimpute,-32.03192880167956,1.3303975409185007,0.2
factorization,-19.74845879793907,1.238354665341743,0.2
mice,-18.00897339109324,1.1694360523752478,0.2
knn,-22.178620971981058,1.2249433009916766,0.2
sudoku,-16.48375663925002,1.15103334219119,0.2
median,-43.617502528479264,1.4010623067882662,0.2
missforest,-16.621517931870752,1.1511972666042352,0.2
sudoku,-17.531995265817784,1.1746678617177615,0.3
median,-43.820644673664866,1.4065112533798574,0.3
knn,-22.4601294421992,1.2372664685988406,0.3
mice,-18.186346509101845,1.1804304913767358,0.3
missforest,-15.183764341654662,1.1622920376963621,0.3
softimpute,-32.71983655171307,1.3437094043711366,0.3
factorization,-20.344914688121733,1.2555478040436174,0.3
mean,-38.308629304526406,1.330639723756034,0.3
softimpute,-33.51673645878942,1.353974581883343,0.4
mean,-38.49844939569094,1.335396865256299,0.4
knn,-22.792443631329288,1.2496322626004268,0.4
factorization,-20.861967587427365,1.2698390317655868,0.4
mice,-18.080087533505463,1.1878362959427617,0.4
median,-44.021259225286975,1.4110367333459224,0.4
missforest,-15.244956304010657,1.175614181659034,0.4
sudoku,-16.84253390507836,1.1885486017123452,0.4
knn,-23.131585237327666,1.2506044616213483,0.5
factorization,-20.948789196321684,1.2840153867725297,0.5
mean,-38.714013576207094,1.3404728733239637,0.5
median,-44.358279319524534,1.41921409890642,0.5
missforest,-15.752369832320975,1.1899148015863497,0.5
softimpute,-34.54030465699585,1.3655874323315125,0.5
sudoku,-18.60109282771281,1.1878152372340107,0.5
mice,-18.806162105901738,1.1966596221814143,0.5
