,R2,RMSE,missingness_prop
missforest,-13.924590118215258,0.6866779841834068,0.1
knn,-13.804668328948955,0.6946836540862451,0.1
mice,-25.91936806562832,0.8046944960250175,0.1
factorization,-31.132726037069418,0.7495880286398311,0.1
sudoku,-9.336087823623735,0.673219170819265,0.1
mean,-9.499863896051197,0.6750461036262266,0.1
softimpute,-32.51078996391645,0.7495344561566588,0.1
median,-9.517581675802072,0.6752826376149613,0.1
mice,-25.86473250033512,0.8048650982476998,0.2
factorization,-53.22797997497174,0.7519659002831051,0.2
missforest,-13.903748046618437,0.6874522588575934,0.2
median,-9.517357060472737,0.675144359730221,0.2
mean,-9.499802683143958,0.67490862900044,0.2
sudoku,-9.328436371675549,0.6731383343170676,0.2
knn,-14.214738869066364,0.6949902996640022,0.2
softimpute,-32.82553945347798,0.7496888117348791,0.2
sudoku,-9.329751189700136,0.6731550609440365,0.3
missforest,-13.370709309351964,0.6863147274412191,0.3
softimpute,-33.09140778369933,0.7503584751935093,0.3
mean,-9.499810331572053,0.6750647460953001,0.3
median,-9.517125568540923,0.675300183492134,0.3
knn,-13.716616271898738,0.6945736447913436,0.3
mice,-25.802226933215994,0.8076090620313908,0.3
factorization,-67.24556803486136,0.7566765544719621,0.3
factorization,-119.65313633074418,0.7630500093885231,0.4
median,-9.516543534526804,0.6752270373870658,0.4
missforest,-13.356855257300603,0.686705460111919,0.4
softimpute,-33.534158010076254,0.7505907538504957,0.4
mice,-25.953328520556457,0.8071398316374796,0.4
knn,-13.825966136702954,0.6946629292898612,0.4
mean,-9.49978574904823,0.6749930221878703,0.4
sudoku,-9.36899932425919,0.673526593592599,0.4
factorization,-206.61572580614975,0.7703697346479386,0.5
missforest,-13.05877540495497,0.6858767336886521,0.5
softimpute,-34.24737034333335,0.7510002475978831,0.5
mice,-26.459947599283737,0.806361880532215,0.5
median,-9.517188013935348,0.6751830073860084,0.5
mean,-9.499787098586912,0.6749476828171814,0.5
sudoku,-9.335819992240442,0.6733669234598696,0.5
knn,-13.977168527581105,0.6950234103529193,0.5
