,R2,RMSE,missingness_prop
missforest,0.5039469908369799,0.08025734382293852,0.1
median,-0.37532943816710007,0.16882870399120614,0.1
mean,-0.2390157576794643,0.1592046629018023,0.1
knn,0.13094165599468482,0.09965795167033234,0.1
sudoku,0.23145890992705093,0.07693150224708706,0.1
factorization,-0.07170560638313125,0.116955456646186,0.1
softimpute,0.23447583044107273,0.11299712996572422,0.1
mice,-4.339009118635313,0.15633136660713348,0.1
factorization,-0.22225528141041645,0.13636485522313935,0.2
knn,-0.05157176385294472,0.1121274930443266,0.2
softimpute,0.17754642388816078,0.126720200469417,0.2
missforest,0.3702021934207994,0.08986321678994166,0.2
mice,-1.3408202731961212,0.15580210845330983,0.2
sudoku,0.13330668005163865,0.09344619017708933,0.2
mean,-0.2577826774010503,0.1634929831013139,0.2
median,-0.38905483204458363,0.17289420643619896,0.2
sudoku,-0.09937701587858758,0.10662370749122038,0.3
factorization,-0.651273728480582,0.15409644154475594,0.3
mice,-1.6675951136446934,0.15988114298636302,0.3
missforest,-0.26804493533642015,0.12431905662722051,0.3
softimpute,-0.1270995167454251,0.1438801614957696,0.3
median,-0.39778648270103606,0.17830625528209904,0.3
knn,-0.4315488721264319,0.12962265855680483,0.3
mean,-0.28382546929785785,0.1687722752883435,0.3
knn,-0.9626683746364666,0.135271717909422,0.4
missforest,-1.5185017906083176,0.14149169315874438,0.4
softimpute,-0.5443165471664366,0.151684042478393,0.4
factorization,-1.428419980799649,0.1669594546432235,0.4
mean,-0.31104605734094554,0.1690847802720356,0.4
median,-0.41736904639555916,0.17831238516507386,0.4
mice,-2.075246064796331,0.1548393883933099,0.4
sudoku,-0.7854873811382042,0.11115967218228295,0.4
median,-0.4462099294896863,0.17941693481392867,0.5
mean,-0.3571890347358865,0.1709090726187695,0.5
missforest,-6.734758534977504,0.17321794266816654,0.5
softimpute,-1.3478211112438696,0.1670034320670153,0.5
knn,-2.027494503990414,0.14490968242750096,0.5
mice,-4.803497077322487,0.17812840181125514,0.5
sudoku,-1.9528751534835358,0.1307326109908423,0.5
factorization,-3.750692056641924,0.18955988491149425,0.5
