,R2,RMSE,missingness_prop
missforest,0.7225115888192978,0.06538020988962108,0.1
mice,0.24577345178894933,0.09546622252089593,0.1
mean,-0.013853817191981293,0.1941438185170275,0.1
factorization,0.4605304002528773,0.1404679768792388,0.1
sudoku,0.6558100495174948,0.0831162546221799,0.1
median,-0.08475843242865189,0.20186920599620733,0.1
softimpute,0.5409973956217279,0.1429113807938461,0.1
knn,0.5564285498668294,0.09469118718496869,0.1
mean,-0.006254556171801995,0.17728059693160086,0.2
median,-0.08816739033335749,0.18454229475381267,0.2
factorization,0.4917256406523672,0.1294344981567816,0.2
softimpute,0.5124599943457528,0.13074444506895916,0.2
missforest,0.7657185473577021,0.06735146953630057,0.2
sudoku,0.6454137374262463,0.08512391517652124,0.2
knn,0.5419035937964378,0.09407864160003344,0.2
mice,0.48305805707453464,0.09334926180009467,0.2
sudoku,0.6088767571675551,0.09209853832849743,0.3
mice,0.46962926437356467,0.09506855548283949,0.3
median,-0.08734558676782293,0.18191730600313744,0.3
missforest,0.7233797114057726,0.07564307502834526,0.3
softimpute,0.4675900891946532,0.13380416138278778,0.3
knn,0.5130927905574634,0.09708981433124507,0.3
factorization,0.4304575885986557,0.13557567895210565,0.3
mean,-0.005482547788494291,0.17474981576513565,0.3
median,-0.08781178267393927,0.1797705889637728,0.4
mean,-0.004782955119382698,0.17230839788506183,0.4
missforest,0.6492795212998524,0.08782658879904269,0.4
softimpute,0.4052383610227503,0.1369685286874438,0.4
knn,0.42434110258983965,0.11288664685643941,0.4
factorization,0.2722193817659434,0.1473102095299484,0.4
mice,0.5064301911633128,0.10338911811893459,0.4
sudoku,0.5289729790742699,0.10421848603012385,0.4
mean,-0.005625667050250915,0.1706123196017612,0.5
factorization,-0.10092363212570381,0.16719775101866755,0.5
median,-0.1055797760969915,0.17936774254020574,0.5
missforest,0.566530550128553,0.09654568007370198,0.5
softimpute,0.329423405414976,0.14264257039561481,0.5
mice,0.44362654034387194,0.11846469268661922,0.5
sudoku,0.3308588441164787,0.14177421561729786,0.5
knn,0.2674434441825933,0.1331025776782279,0.5
