,R2,RMSE,missingness_prop
mean,-309.2993695625189,1.201155239752321,0.1
mice,-53.064094418682,0.7030103109901178,0.1
softimpute,-160.4299830570818,1.0885360533009243,0.1
missforest,-25.762863798113877,0.5788644496237554,0.1
sudoku,-125.64250496375989,0.8588814098711974,0.1
median,-331.4927494113969,1.2368470728984502,0.1
factorization,-139.70369639176369,1.0631555930690966,0.1
knn,-64.35538601051515,0.7248007337677065,0.1
mean,-309.33352339054505,1.2028875447646734,0.2
factorization,-139.80326236576337,1.068921163723844,0.2
softimpute,-160.65093689377198,1.0957775618261831,0.2
missforest,-22.825121826816392,0.5937191746056232,0.2
knn,-63.06167643173076,0.7354225210113123,0.2
sudoku,-125.13441021257401,0.8831233557541431,0.2
median,-331.50327899988054,1.2365370034341823,0.2
mice,-57.383663520793576,0.7021518122905176,0.2
sudoku,-133.8994887895191,0.8944307028278752,0.3
median,-331.5004607784363,1.2363661444499496,0.3
mice,-80.65174899995777,0.7189821616369176,0.3
missforest,-40.800325201647816,0.6549987601313856,0.3
softimpute,-161.2164208920192,1.102141807617424,0.3
knn,-62.18735407405196,0.7247618203700108,0.3
mean,-309.3532133681103,1.2032758048809131,0.3
factorization,-139.8190426678922,1.0796474538349774,0.3
mice,-90.12220625951159,0.7566236837201011,0.4
factorization,-139.04984581328526,1.0875216796864027,0.4
mean,-309.3541962893495,1.203621569494314,0.4
missforest,-31.859330966796694,0.6158769919353965,0.4
softimpute,-160.4372177718319,1.1039909468180404,0.4
knn,-65.60403600317802,0.7260147015287103,0.4
median,-331.4998927324551,1.2366622087857575,0.4
sudoku,-143.77170232743578,0.897377287102193,0.4
knn,-59.01092685201784,0.7250887086758293,0.5
mean,-309.35580957443733,1.203505589174283,0.5
missforest,-27.092240559305615,0.6177466064868653,0.5
softimpute,-169.72178200744423,1.106558281941768,0.5
median,-331.5010222493996,1.2365726808302469,0.5
mice,-102.59331010787255,0.7847936881256128,0.5
sudoku,-150.82994813779231,0.8920733715303235,0.5
factorization,-153.35936213658164,1.1027335714742363,0.5
