,algorithm,dataset,missingness,0.1,0.2,0.3,0.4,0.5
0,sudoku,arcene,mcar,2340.072,5992.728,10712.926,13391.653,4878.289
1,median,arcene,mcar,0.008,0.006,0.006,0.006,0.006
2,knn,arcene,mcar,0.257,0.336,0.382,0.353,0.406
3,softimpute,arcene,mcar,3.495,1.883,1.969,1.263,1.526
4,matrix,arcene,mcar,5.556,6.512,5.404,5.53,5.771
5,missforest,arcene,mcar,667.439,592.731,528.827,473.989,389.216
6,mean,arcene,mcar,0.004,0.003,0.003,0.003,0.004
7,mice,arcene,mcar,314.154,373.293,261.299,208.928,158.887
8,sudoku,qsar,mar,218.552,344.591,344.471,349.511,260.102
9,median,qsar,mar,0.003,0.003,0.004,0.003,0.004
10,mice,qsar,mar,152.887,149.114,150.735,111.598,121.844
11,mean,qsar,mar,0.002,0.002,0.002,0.002,0.003
12,matrix,qsar,mar,1.142,1.231,1.147,1.202,1.195
13,softimpute,qsar,mar,3.047,1.037,1.423,1.355,2.128
14,knn,qsar,mar,0.11,0.2,0.325,0.277,0.363
15,missforest,qsar,mar,66.888,65.485,62.108,62.57,61.346
16,sudoku,eeg,mar,24.943,46.992,70.595,342.849,381.485
17,median,eeg,mar,0.014,0.014,0.015,0.014,0.013
18,knn,eeg,mar,10.368,15.76,18.208,30.429,23.989
19,matrix,eeg,mar,0.795,0.451,0.556,0.699,0.18
20,missforest,eeg,mar,259.093,238.593,151.422,185.427,150.53
21,mice,eeg,mar,4.258,1.87,3.838,11.073,18.105
22,softimpute,eeg,mar,2.564,1.403,1.361,1.817,1.532
23,mean,eeg,mar,0.003,0.004,0.006,0.005,0.005
24,sudoku,eeg,mcar,31.693,52.867,82.992,464.867,408.418
25,mean,eeg,mcar,0.004,0.004,0.004,0.006,0.005
26,mice,eeg,mcar,3.487,20.765,16.773,17.924,7.436
27,softimpute,eeg,mcar,1.06,1.38,1.166,1.286,1.144
28,median,eeg,mcar,0.016,0.015,0.015,0.016,0.014
29,knn,eeg,mcar,9.35,12.895,16.607,21.23,24.557
30,missforest,eeg,mcar,260.651,236.288,219.31,203.627,171.749
31,matrix,eeg,mcar,0.519,0.426,0.532,0.561,0.406
32,sudoku,qsar,mnar,87.563,86.188,92.933,96.966,99.82
33,mice,qsar,mnar,148.62,172.384,157.43,148.251,105.87
34,median,qsar,mnar,0.006,0.008,0.006,0.006,0.007
35,matrix,qsar,mnar,1.734,1.243,4.099,1.488,1.542
36,softimpute,qsar,mnar,1.784,3.248,3.034,2.021,2.38
37,knn,qsar,mnar,0.204,0.303,0.287,0.237,0.328
38,missforest,qsar,mnar,71.834,68.476,67.88,67.473,67.276
39,mean,qsar,mnar,0.003,0.015,0.003,0.003,0.003
40,sudoku,arcene,mar,2211.702,6407.23,7274.306,8891.516,8510.062
41,missforest,arcene,mar,648.156,619.874,521.497,461.193,416.549
42,knn,arcene,mar,0.24,0.306,0.372,0.392,0.507
43,matrix,arcene,mar,6.078,5.37,5.897,7.511,2.89
44,median,arcene,mar,0.007,0.007,0.007,0.006,0.006
45,mice,arcene,mar,308.234,438.537,481.261,531.879,324.962
46,softimpute,arcene,mar,1.89,1.612,2.181,1.907,1.783
47,mean,arcene,mar,0.004,0.003,0.003,0.003,0.004
48,sudoku,eeg,mnar,9.239,11.315,17.614,59.988,73.087
49,knn,eeg,mnar,1.782,3.39,5.934,7.639,6.193
50,mice,eeg,mnar,19.422,16.973,17.693,17.29,17.839
51,median,eeg,mnar,0.015,0.022,0.014,0.014,0.014
52,softimpute,eeg,mnar,1.044,1.448,1.007,1.17,1.762
53,matrix,eeg,mnar,0.307,0.188,0.054,0.366,0.072
54,mean,eeg,mnar,0.003,0.003,0.003,0.003,0.003
55,missforest,eeg,mnar,149.73,177.772,97.406,97.31,96.906
56,sudoku,arcene,mnar,1022.736,1774.522,2118.954,1350.458,1314.363
57,missforest,arcene,mnar,565.133,527.989,556.645,520.459,513.599
58,softimpute,arcene,mnar,1.004,1.896,0.545,0.668,0.898
59,mice,arcene,mnar,395.56,440.491,342.479,271.331,454.315
60,mean,arcene,mnar,0.003,0.004,0.003,0.003,0.004
61,knn,arcene,mnar,0.188,0.498,0.24,0.249,0.282
62,median,arcene,mnar,0.008,0.006,0.007,0.008,0.007
63,matrix,arcene,mnar,4.158,3.328,2.923,3.283,3.252
64,sudoku,qsar,mcar,254.525,576.2,825.039,1150.95,281.935
65,mean,qsar,mcar,0.004,0.004,0.004,0.003,0.002
66,matrix,qsar,mcar,2.704,3.318,2.939,1.151,1.638
67,knn,qsar,mcar,0.305,0.38,0.417,0.377,0.422
68,mice,qsar,mcar,150.275,147.656,77.38,66.886,153.465
69,median,qsar,mcar,0.007,0.007,0.004,0.004,0.004
70,missforest,qsar,mcar,77.878,71.367,67.74,61.455,55.072
71,softimpute,qsar,mcar,1.958,1.819,1.541,1.305,3.387
