buying_price,maintenance_price,num_doors,num_persons,luggage_boot_size,safety_rating,car_acceptability
very high,very high,2,2,small,low,unacceptable
very high,very high,2,2,small,medium,unacceptable
very high,very high,2,2,small,high,unacceptable
very high,very high,2,2,medium,low,unacceptable
very high,very high,2,2,medium,medium,unacceptable
very high,very high,2,2,medium,high,unacceptable
very high,very high,2,2,big,low,unacceptable
very high,very high,2,2,big,medium,unacceptable
very high,very high,2,2,big,high,unacceptable
very high,very high,2,4,small,low,unacceptable
very high,very high,2,4,small,medium,unacceptable
very high,very high,2,4,small,high,unacceptable
very high,very high,2,4,medium,low,unacceptable
very high,very high,2,4,medium,medium,unacceptable
very high,very high,2,4,medium,high,unacceptable
very high,very high,2,4,big,low,unacceptable
very high,very high,2,4,big,medium,unacceptable
very high,very high,2,4,big,high,unacceptable
very high,very high,2,more than 4,small,low,unacceptable
very high,very high,2,more than 4,small,medium,unacceptable
very high,very high,2,more than 4,small,high,unacceptable
very high,very high,2,more than 4,medium,low,unacceptable
very high,very high,2,more than 4,medium,medium,unacceptable
very high,very high,2,more than 4,medium,high,unacceptable
very high,very high,2,more than 4,big,low,unacceptable
very high,very high,2,more than 4,big,medium,unacceptable
very high,very high,2,more than 4,big,high,unacceptable
very high,very high,3,2,small,low,unacceptable
very high,very high,3,2,small,medium,unacceptable
very high,very high,3,2,small,high,unacceptable
very high,very high,3,2,medium,low,unacceptable
very high,very high,3,2,medium,medium,unacceptable
very high,very high,3,2,medium,high,unacceptable
very high,very high,3,2,big,low,unacceptable
very high,very high,3,2,big,medium,unacceptable
very high,very high,3,2,big,high,unacceptable
very high,very high,3,4,small,low,unacceptable
very high,very high,3,4,small,medium,unacceptable
very high,very high,3,4,small,high,unacceptable
very high,very high,3,4,medium,low,unacceptable
very high,very high,3,4,medium,medium,unacceptable
very high,very high,3,4,medium,high,unacceptable
very high,very high,3,4,big,low,unacceptable
very high,very high,3,4,big,medium,unacceptable
very high,very high,3,4,big,high,unacceptable
very high,very high,3,more than 4,small,low,unacceptable
very high,very high,3,more than 4,small,medium,unacceptable
very high,very high,3,more than 4,small,high,unacceptable
very high,very high,3,more than 4,medium,low,unacceptable
very high,very high,3,more than 4,medium,medium,unacceptable
very high,very high,3,more than 4,medium,high,unacceptable
very high,very high,3,more than 4,big,low,unacceptable
very high,very high,3,more than 4,big,medium,unacceptable
very high,very high,3,more than 4,big,high,unacceptable
very high,very high,4,2,small,low,unacceptable
very high,very high,4,2,small,medium,unacceptable
very high,very high,4,2,small,high,unacceptable
very high,very high,4,2,medium,low,unacceptable
very high,very high,4,2,medium,medium,unacceptable
very high,very high,4,2,medium,high,unacceptable
very high,very high,4,2,big,low,unacceptable
very high,very high,4,2,big,medium,unacceptable
very high,very high,4,2,big,high,unacceptable
very high,very high,4,4,small,low,unacceptable
very high,very high,4,4,small,medium,unacceptable
very high,very high,4,4,small,high,unacceptable
very high,very high,4,4,medium,low,unacceptable
very high,very high,4,4,medium,medium,unacceptable
very high,very high,4,4,medium,high,unacceptable
very high,very high,4,4,big,low,unacceptable
very high,very high,4,4,big,medium,unacceptable
very high,very high,4,4,big,high,unacceptable
very high,very high,4,more than 4,small,low,unacceptable
very high,very high,4,more than 4,small,medium,unacceptable
very high,very high,4,more than 4,small,high,unacceptable
very high,very high,4,more than 4,medium,low,unacceptable
very high,very high,4,more than 4,medium,medium,unacceptable
very high,very high,4,more than 4,medium,high,unacceptable
very high,very high,4,more than 4,big,low,unacceptable
very high,very high,4,more than 4,big,medium,unacceptable
very high,very high,4,more than 4,big,high,unacceptable
very high,very high,5 or more,2,small,low,unacceptable
very high,very high,5 or more,2,small,medium,unacceptable
very high,very high,5 or more,2,small,high,unacceptable
very high,very high,5 or more,2,medium,low,unacceptable
very high,very high,5 or more,2,medium,medium,unacceptable
very high,very high,5 or more,2,medium,high,unacceptable
very high,very high,5 or more,2,big,low,unacceptable
very high,very high,5 or more,2,big,medium,unacceptable
very high,very high,5 or more,2,big,high,unacceptable
very high,very high,5 or more,4,small,low,unacceptable
very high,very high,5 or more,4,small,medium,unacceptable
very high,very high,5 or more,4,small,high,unacceptable
very high,very high,5 or more,4,medium,low,unacceptable
very high,very high,5 or more,4,medium,medium,unacceptable
very high,very high,5 or more,4,medium,high,unacceptable
very high,very high,5 or more,4,big,low,unacceptable
very high,very high,5 or more,4,big,medium,unacceptable
very high,very high,5 or more,4,big,high,unacceptable
very high,very high,5 or more,more than 4,small,low,unacceptable
very high,very high,5 or more,more than 4,small,medium,unacceptable
very high,very high,5 or more,more than 4,small,high,unacceptable
very high,very high,5 or more,more than 4,medium,low,unacceptable
very high,very high,5 or more,more than 4,medium,medium,unacceptable
very high,very high,5 or more,more than 4,medium,high,unacceptable
very high,very high,5 or more,more than 4,big,low,unacceptable
very high,very high,5 or more,more than 4,big,medium,unacceptable
very high,very high,5 or more,more than 4,big,high,unacceptable
very high,high,2,2,small,low,unacceptable
very high,high,2,2,small,medium,unacceptable
