buying_price,maintenance_price,num_doors,num_persons,luggage_boot_size,safety_rating,car_acceptability
,very high,2,2,,,
very high,very high,2,,small,medium,
,,,2,,,unacceptable
,,,,medium,,unacceptable
very high,,2,,,medium,unacceptable
very high,,,2,,,
,very high,,2,,low,unacceptable
,very high,2,2,big,medium,unacceptable
,,,,,,unacceptable
,,2,,small,,unacceptable
very high,,,4,small,medium,unacceptable
,,,4,small,,
,,2,4,medium,,
very high,very high,2,4,,medium,
,,,4,,high,unacceptable
,,2,,,,
very high,very high,2,4,big,,unacceptable
very high,very high,2,,,,
very high,very high,,more than 4,,,
,very high,,more than 4,small,,unacceptable
very high,,,,,,unacceptable
very high,,,more than 4,,,
very high,,2,more than 4,,medium,
very high,very high,2,,medium,,
,very high,2,,big,,unacceptable
,very high,,more than 4,,,
very high,very high,,more than 4,big,high,unacceptable
,,3,2,small,,
very high,very high,3,2,small,,
very high,very high,,,small,,
very high,very high,3,,medium,,
very high,very high,3,2,medium,,
,,3,,medium,high,unacceptable
very high,very high,,,big,,
very high,,3,2,big,,
very high,,3,2,big,,
very high,,,4,small,low,unacceptable
,very high,3,,small,medium,unacceptable
very high,very high,,,small,high,unacceptable
very high,very high,3,4,medium,low,unacceptable
very high,,,,medium,,
very high,,3,,,high,
,very high,3,,big,,
very high,very high,3,4,big,medium,
very high,,,,,high,unacceptable
very high,,,,,low,unacceptable
very high,,3,more than 4,small,medium,
,,3,,,,
very high,very high,,,,,
,,3,more than 4,,,unacceptable
very high,very high,3,,,high,
very high,very high,3,,big,,unacceptable
very high,,3,more than 4,,,
,,3,,,high,
very high,,,2,small,low,unacceptable
very high,,,2,small,medium,
,very high,,2,small,,unacceptable
very high,,4,2,medium,,unacceptable
,,4,,,medium,unacceptable
very high,very high,,,,high,unacceptable
very high,very high,,,,low,
very high,,,,big,medium,
,very high,,2,big,,
very high,,,4,small,low,unacceptable
,,4,4,,medium,
,,,,,,unacceptable
very high,very high,4,,,low,
very high,,4,,medium,medium,unacceptable
,very high,4,4,medium,high,
very high,very high,4,,,low,unacceptable
,very high,,,,,unacceptable
,very high,4,4,big,,unacceptable
very high,,4,more than 4,small,low,unacceptable
,very high,4,,,,unacceptable
very high,,4,,small,high,unacceptable
,,,,medium,low,unacceptable
very high,very high,4,more than 4,medium,,
,very high,4,,medium,high,
,very high,4,more than 4,big,low,unacceptable
very high,very high,,,,medium,unacceptable
very high,,,,,high,
,very high,,2,small,,unacceptable
very high,very high,,2,,,
very high,,,2,,,
,,,2,,,unacceptable
,very high,,,,,
,,,,,,unacceptable
very high,,5 or more,2,,low,unacceptable
,,5 or more,2,,,
,very high,,,big,,
very high,very high,5 or more,4,,,unacceptable
,,,,,,
,very high,5 or more,4,small,,
very high,very high,5 or more,,,,
very high,very high,,4,medium,,
,,,,,,unacceptable
,very high,,4,,,unacceptable
very high,very high,,,big,medium,unacceptable
very high,,5 or more,,,,unacceptable
,,5 or more,,small,,
very high,,,,,medium,
very high,,5 or more,more than 4,small,,
,very high,5 or more,more than 4,,low,unacceptable
,,5 or more,more than 4,medium,,unacceptable
,,,more than 4,medium,high,
very high,,5 or more,,,,
very high,very high,,more than 4,,medium,unacceptable
very high,,5 or more,more than 4,,,unacceptable
very high,high,2,2,,,
very high,,2,2,small,,unacceptable
,high,,,small,,
very high,high,2,2,medium,,
,high,2,,,medium,
very high,high,2,,medium,high,unacceptable
very high,high,2,,big,low,
very high,high,2,,,medium,unacceptable
,high,2,2,big,,
,high,,,,low,unacceptable
,,2,,,,
,,,4,,high,unacceptable
,high,,4,,,
very high,high,2,,medium,,unacceptable
,,,,medium,,unacceptable
,high,,,big,,
very high,high,,,big,,
,high,2,,,,unacceptable
,,2,,small,,
,high,2,more than 4,,medium,
,high,,,,,
very high,,2,more than 4,,,
very high,,2,,medium,,
very high,high,,more than 4,,high,unacceptable
,,,more than 4,big,,
very high,high,2,,,,unacceptable
,high,,more than 4,big,high,
,,3,2,small,low,unacceptable
,high,,,small,,
very high,,3,,,,
very high,,3,,medium,low,unacceptable
,,,2,,,unacceptable
,high,,,medium,,unacceptable
,,3,2,big,,unacceptable
,,3,,big,,
very high,high,3,2,big,high,unacceptable
,,,4,small,,unacceptable
very high,,3,4,,medium,
very high,high,3,,small,high,
very high,,3,,,,unacceptable
,high,,,medium,medium,
very high,high,3,,,high,
very high,high,3,4,big,,unacceptable
,,3,4,big,medium,
,high,,,,,
,,,more than 4,,,unacceptable
,high,3,,,medium,unacceptable
,high,,more than 4,,high,unacceptable
very high,high,,,,,unacceptable
,,3,more than 4,medium,medium,
,high,3,,medium,,
very high,high,3,,big,,
very high,high,3,more than 4,big,medium,
,,,more than 4,,,
very high,,4,,,low,unacceptable
,high,4,,small,medium,unacceptable
very high,high,4,2,small,high,unacceptable
very high,,4,2,,low,
,high,,2,medium,medium,
,high,4,2,,high,unacceptable
very high,,4,2,big,,unacceptable
very high,,4,2,,,unacceptable
,high,,2,,high,unacceptable
very high,high,,4,,,
,high,4,,,medium,
,,4,4,,,unacceptable
very high,,4,,,low,
very high,,,4,,medium,
,,4,,medium,,unacceptable
,high,4,4,big,low,unacceptable
