class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
poisonous,convex,smooth,brown,bruises,pungent,,close,narrow,black,,equal,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,urban
edible,convex,smooth,yellow,bruises,almond,,close,broad,,enlarging,club,smooth,smooth,,white,partial,white,one,,brown,numerous,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,brown,,club,,smooth,white,white,partial,white,one,pendant,brown,numerous,
poisonous,convex,scaly,,bruises,pungent,free,close,,brown,enlarging,equal,smooth,smooth,,white,partial,white,one,pendant,black,scattered,urban
edible,convex,smooth,gray,no,none,,crowded,,black,tapering,equal,smooth,smooth,white,white,partial,,one,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,,white,white,partial,white,one,pendant,black,numerous,grasses
edible,bell,smooth,white,bruises,almond,free,,broad,gray,,club,smooth,smooth,white,white,partial,white,one,pendant,black,numerous,meadows
edible,bell,scaly,,bruises,anise,free,,broad,brown,,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
poisonous,convex,scaly,white,bruises,pungent,,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,,one,pendant,black,,grasses
edible,,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,black,scattered,meadows
edible,convex,scaly,yellow,bruises,anise,free,,broad,gray,enlarging,club,smooth,smooth,,white,partial,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,bruises,almond,,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,bruises,almond,free,,broad,,enlarging,club,smooth,smooth,,,partial,white,one,pendant,brown,scattered,grasses
,,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,,,white,white,partial,white,one,pendant,brown,several,urban
edible,convex,fibrous,brown,no,none,free,crowded,broad,brown,,equal,,,white,white,partial,,one,evanescent,black,abundant,grasses
edible,sunken,,gray,no,none,free,close,narrow,,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
edible,,fibrous,,,none,,crowded,broad,,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,brown,abundant,grasses
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,,white,,pendant,black,scattered,grasses
poisonous,convex,scaly,white,bruises,pungent,free,close,,brown,,equal,smooth,smooth,white,white,partial,white,one,pendant,,scattered,
poisonous,convex,,,bruises,pungent,free,close,narrow,black,enlarging,equal,,smooth,white,white,partial,white,one,,brown,,urban
edible,bell,smooth,yellow,bruises,almond,free,close,broad,black,,club,,smooth,white,white,,white,one,pendant,brown,scattered,meadows
poisonous,convex,scaly,,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,,white,partial,white,one,pendant,brown,several,grasses
edible,bell,scaly,yellow,bruises,anise,free,close,,,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,
edible,bell,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
edible,bell,smooth,white,bruises,,free,close,broad,gray,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,brown,several,grasses
edible,,scaly,yellow,bruises,,free,close,broad,brown,enlarging,club,,smooth,white,,partial,white,,pendant,brown,numerous,meadows
edible,convex,scaly,white,bruises,anise,free,,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,,brown,numerous,meadows
edible,flat,fibrous,brown,no,none,,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,solitary,urban
edible,convex,smooth,yellow,bruises,,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,woods
edible,bell,smooth,yellow,bruises,anise,free,close,broad,gray,enlarging,,smooth,smooth,,white,partial,white,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,urban
edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,numerous,meadows
edible,convex,scaly,brown,bruises,,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,paths
edible,bell,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows
edible,convex,fibrous,yellow,bruises,anise,free,crowded,narrow,white,tapering,bulbous,smooth,,white,white,,white,one,pendant,brown,several,woods
