parents_occupation,child_nursery,family_form,num_children,housing,financial_standing,social_conditions,health_conditions,application_decision
usual,proper,complete,1,convenient,convenient,,recommended,recommended
usual,,complete,1,convenient,convenient,non-problematic,priority,priority
usual,proper,complete,1,convenient,convenient,non-problematic,not recommended,not recommended
usual,proper,,1,convenient,,slightly problematic,recommended,recommended
usual,,complete,1,convenient,convenient,,priority,priority
usual,proper,complete,1,convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,,1,,convenient,problematic,recommended,priority
usual,proper,complete,1,convenient,,problematic,priority,priority
,proper,complete,1,convenient,,problematic,not recommended,not recommended
usual,proper,,1,convenient,inconvenient,non-problematic,recommended,very recommended
usual,proper,complete,1,convenient,inconvenient,non-problematic,priority,
usual,,complete,1,convenient,inconvenient,non-problematic,not recommended,not recommended
usual,,complete,1,convenient,inconvenient,slightly problematic,recommended,very recommended
usual,proper,complete,1,convenient,inconvenient,slightly problematic,priority,priority
usual,proper,,1,convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,complete,1,convenient,inconvenient,problematic,recommended,priority
usual,,complete,1,,inconvenient,problematic,priority,priority
usual,proper,complete,1,convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,,1,less convenient,convenient,,recommended,very recommended
,proper,complete,1,less convenient,convenient,non-problematic,priority,priority
usual,proper,complete,1,less convenient,convenient,non-problematic,not recommended,not recommended
usual,,complete,1,less convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,complete,,less convenient,convenient,slightly problematic,,priority
usual,,complete,1,less convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,complete,1,less convenient,convenient,,recommended,priority
usual,proper,complete,1,less convenient,convenient,problematic,priority,priority
usual,proper,complete,,less convenient,convenient,problematic,not recommended,not recommended
usual,,complete,1,less convenient,inconvenient,non-problematic,recommended,very recommended
usual,proper,complete,1,less convenient,inconvenient,non-problematic,,priority
usual,proper,complete,1,less convenient,inconvenient,non-problematic,not recommended,not recommended
usual,proper,complete,1,less convenient,inconvenient,slightly problematic,recommended,very recommended
usual,proper,complete,1,,inconvenient,,priority,priority
usual,proper,,,less convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,,,less convenient,inconvenient,problematic,recommended,priority
usual,proper,complete,1,less convenient,,,priority,priority
usual,proper,complete,1,less convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,complete,1,critical,convenient,non-problematic,recommended,
usual,,,1,critical,convenient,,priority,priority
usual,proper,complete,1,critical,,non-problematic,not recommended,not recommended
usual,proper,complete,,critical,,slightly problematic,recommended,very recommended
usual,proper,complete,1,critical,convenient,slightly problematic,priority,priority
,proper,,,critical,,slightly problematic,not recommended,
usual,proper,complete,1,critical,convenient,problematic,recommended,priority
usual,proper,complete,1,critical,convenient,problematic,priority,priority
usual,proper,complete,1,critical,convenient,problematic,not recommended,not recommended
usual,proper,,1,,inconvenient,non-problematic,recommended,very recommended
usual,proper,complete,1,critical,inconvenient,non-problematic,priority,
usual,,complete,1,critical,inconvenient,non-problematic,not recommended,not recommended
usual,proper,,1,,inconvenient,slightly problematic,,
usual,proper,complete,1,critical,inconvenient,slightly problematic,priority,
usual,proper,complete,1,critical,inconvenient,,not recommended,
usual,proper,complete,1,critical,inconvenient,problematic,recommended,priority
usual,proper,,1,,inconvenient,problematic,priority,
usual,proper,complete,1,critical,inconvenient,problematic,not recommended,not recommended
,proper,complete,2,convenient,convenient,non-problematic,recommended,very recommended
usual,proper,,2,convenient,convenient,non-problematic,priority,priority
usual,proper,complete,2,convenient,convenient,non-problematic,not recommended,not recommended
usual,,,2,convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,complete,2,convenient,convenient,,priority,priority
usual,proper,complete,2,convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,complete,2,convenient,convenient,problematic,recommended,priority
usual,proper,complete,2,convenient,convenient,problematic,priority,
usual,proper,complete,2,convenient,,problematic,not recommended,not recommended
usual,proper,complete,2,convenient,inconvenient,non-problematic,recommended,very recommended
usual,proper,complete,2,convenient,inconvenient,non-problematic,priority,priority
usual,,complete,2,convenient,inconvenient,non-problematic,not recommended,not recommended
usual,proper,complete,2,convenient,,slightly problematic,recommended,very recommended
,proper,complete,2,convenient,inconvenient,slightly problematic,,priority
usual,,complete,2,,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,complete,2,convenient,inconvenient,problematic,,priority
usual,proper,complete,2,convenient,inconvenient,problematic,priority,priority
usual,,complete,2,convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,,2,less convenient,convenient,non-problematic,recommended,very recommended
usual,proper,complete,2,less convenient,convenient,non-problematic,priority,priority
usual,proper,complete,2,less convenient,convenient,,not recommended,not recommended
usual,proper,complete,2,less convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,complete,2,less convenient,convenient,slightly problematic,priority,priority
usual,proper,complete,2,less convenient,convenient,slightly problematic,not recommended,
usual,proper,,2,less convenient,convenient,problematic,recommended,priority
usual,proper,complete,2,less convenient,convenient,problematic,priority,priority
usual,proper,,2,less convenient,convenient,problematic,not recommended,not recommended
usual,proper,complete,2,less convenient,inconvenient,non-problematic,recommended,very recommended
usual,proper,complete,2,less convenient,inconvenient,non-problematic,priority,priority
usual,proper,complete,2,less convenient,inconvenient,non-problematic,not recommended,not recommended
usual,proper,complete,2,less convenient,inconvenient,slightly problematic,recommended,
usual,proper,complete,2,less convenient,inconvenient,slightly problematic,priority,priority
usual,proper,complete,2,less convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,complete,2,less convenient,inconvenient,problematic,recommended,priority
usual,proper,,2,less convenient,inconvenient,problematic,priority,priority
usual,proper,complete,2,less convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,complete,2,critical,convenient,non-problematic,recommended,
usual,proper,,2,critical,convenient,non-problematic,priority,priority
usual,proper,complete,2,critical,convenient,non-problematic,not recommended,not recommended
