age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic
0.4285714285714284,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,,0.5,0.75,0.0,0.0,0.5,0.125,0.0,0.5789473684210527,GP,F,U,GT3,A,at_home,teacher,course,mother,yes,no,no,no,yes,yes,no,
0.2857142857142856,0.25,0.25,0.0,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0625,0.47368421052631576,0.5789473684210527,GP,F,U,GT3,T,at_home,other,course,father,no,yes,no,no,no,yes,yes,11.0
0.0,,0.25,0.0,0.3333333333333333,0.0,0.75,0.5,0.25,0.25,,0.5,0.1875,0.631578947368421,,GP,F,U,LE3,T,at_home,other,other,mother,yes,no,no,no,yes,yes,yes,12.0
0.0,1.0,0.5,0.0,0.6666666666666667,0.0,0.5,0.25,0.25,0.0,0.0,1.0,,0.7368421052631579,0.7368421052631579,GP,F,U,GT3,T,health,services,home,mother,no,yes,no,yes,yes,yes,yes,14.0
0.1428571428571428,0.75,0.75,0.0,0.3333333333333333,0.0,0.75,0.5,0.25,0.0,0.25,1.0,0.0,0.5789473684210527,0.6842105263157894,GP,F,U,GT3,T,other,other,home,father,no,yes,no,no,yes,yes,no,13.0
0.1428571428571428,1.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.75,0.25,0.0,0.25,1.0,0.1875,,,GP,M,U,LE3,T,services,other,reputation,mother,no,yes,no,yes,yes,yes,yes,13.0
0.1428571428571428,0.5,0.5,0.0,0.3333333333333333,0.0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.6842105263157894,0.631578947368421,GP,M,U,LE3,T,other,other,home,mother,no,no,no,no,yes,yes,yes,13.0
0.2857142857142856,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.0625,,0.6842105263157894,GP,F,U,GT3,A,other,teacher,home,mother,yes,yes,no,no,yes,yes,no,
0.0,0.75,0.5,0.0,0.3333333333333333,0.0,0.75,0.25,,,0.0,0.0,0.0,0.7894736842105263,0.8421052631578947,GP,M,U,LE3,A,services,other,home,mother,no,yes,no,no,yes,yes,yes,17.0
0.0,0.75,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.631578947368421,GP,M,U,GT3,T,other,other,home,mother,no,yes,no,yes,yes,yes,yes,13.0
0.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.5,0.5,0.5,0.0,0.25,0.25,0.0625,0.7368421052631579,0.7368421052631579,GP,F,U,GT3,T,teacher,health,reputation,mother,no,yes,no,no,yes,yes,yes,14.0
0.0,0.5,0.25,0.6666666666666667,0.6666666666666667,0.0,1.0,0.25,0.25,0.0,0.0,0.75,0.0,0.5263157894736842,0.631578947368421,GP,F,U,GT3,T,services,other,reputation,father,no,yes,no,yes,yes,yes,yes,13.0
0.0,1.0,1.0,0.0,,0.0,0.75,0.5,0.5,0.0,,1.0,0.0,0.631578947368421,0.6842105263157894,GP,M,U,LE3,T,health,services,course,father,no,yes,no,yes,yes,yes,yes,
0.0,1.0,0.75,0.3333333333333333,0.3333333333333333,0.0,1.0,0.75,0.5,0.0,0.25,0.5,0.0,,,GP,M,U,GT3,T,teacher,other,course,mother,no,yes,no,no,yes,yes,yes,13.0
0.0,0.5,,0.0,0.6666666666666667,0.0,0.75,1.0,,0.0,0.0,0.5,0.0,0.7368421052631579,,GP,M,U,GT3,A,other,other,home,other,no,yes,no,no,yes,yes,yes,15.0
0.1428571428571428,1.0,1.0,0.0,0.0,0.0,0.75,0.75,0.75,0.0,0.25,0.25,0.1875,0.894736842105263,0.894736842105263,GP,F,U,GT3,T,health,other,home,mother,no,yes,no,no,yes,yes,yes,17.0
0.1428571428571428,1.0,1.0,0.0,0.6666666666666667,0.0,0.5,0.25,0.5,0.0,0.25,0.25,0.3125,,0.6842105263157894,GP,F,U,GT3,T,services,services,reputation,mother,no,yes,no,yes,yes,yes,yes,14.0
0.1428571428571428,0.75,0.75,0.6666666666666667,0.3333333333333333,0.0,1.0,0.5,0.25,,0.0,0.75,0.0625,0.6842105263157894,0.7368421052631579,GP,F,U,GT3,T,other,other,reputation,mother,yes,yes,no,yes,yes,yes,no,14.0
