age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic
,1.0,1.0,0.3333333333333333,,,,0.5,0.75,0.0,,0.5,0.125,,,,,U,GT3,,at_home,,,,yes,no,,no,yes,,no,
,0.25,0.25,0.0,,,1.0,0.5,,0.0,,0.5,,0.47368421052631576,,GP,F,,GT3,T,at_home,other,course,father,,,,,,,yes,
,0.25,,0.0,,0.0,0.75,,,0.25,0.5,0.5,0.1875,,,,F,U,,,,,other,mother,yes,no,,no,yes,yes,yes,12.0
0.0,1.0,,,,0.0,,0.25,0.25,,0.0,1.0,,,,,F,U,GT3,T,health,,home,mother,no,yes,,,,yes,yes,14.0
,0.75,0.75,,,,0.75,,0.25,0.0,,1.0,0.0,,0.6842105263157894,,,,GT3,T,,,home,,,yes,no,,yes,yes,,13.0
,1.0,0.75,0.0,,0.0,,,,0.0,0.25,,0.1875,,0.631578947368421,,M,,LE3,,,,reputation,mother,,yes,no,yes,yes,,,13.0
0.1428571428571428,0.5,,,0.3333333333333333,0.0,0.75,0.75,0.75,,,0.5,0.0,,,GP,,,LE3,T,other,,home,,,no,no,no,yes,yes,,
,,1.0,,0.3333333333333333,0.0,0.75,0.0,0.75,0.0,,0.0,,,0.6842105263157894,,F,U,GT3,,,teacher,home,mother,yes,yes,,,yes,,,13.0
0.0,0.75,0.5,,0.3333333333333333,0.0,,0.25,0.25,0.0,0.0,0.0,,,0.8421052631578947,GP,M,U,LE3,A,services,other,home,mother,no,,,,yes,,yes,17.0
,0.75,,,0.3333333333333333,,,1.0,0.0,,0.0,,,0.631578947368421,0.631578947368421,GP,M,U,GT3,,other,,home,,,yes,no,yes,yes,,,
0.0,1.0,1.0,,0.3333333333333333,0.0,0.5,0.5,0.5,,,0.25,,,,,F,U,GT3,,teacher,health,,mother,,yes,no,,,yes,yes,14.0
0.0,,,0.6666666666666667,,0.0,1.0,0.25,,0.0,0.0,0.75,0.0,,0.631578947368421,GP,,,,,,other,,,no,,no,,,yes,yes,13.0
0.0,1.0,,,0.0,0.0,0.75,0.5,,0.0,,1.0,0.0,0.631578947368421,0.6842105263157894,GP,,U,LE3,T,,services,,,no,,,yes,yes,yes,yes,12.0
,,0.75,0.3333333333333333,0.3333333333333333,0.0,,0.75,,0.0,0.25,0.5,,,,GP,M,,,T,,other,course,,,yes,,,yes,yes,yes,13.0
,,0.5,0.0,0.6666666666666667,0.0,,1.0,,0.0,,,,0.7368421052631579,0.7368421052631579,GP,M,,,A,,other,,other,,yes,no,no,,yes,yes,15.0
0.1428571428571428,1.0,1.0,0.0,0.0,0.0,,,0.75,0.0,0.25,0.25,,,0.894736842105263,,F,,GT3,T,health,other,,mother,no,,no,no,yes,yes,yes,17.0
0.1428571428571428,1.0,,,,0.0,0.5,,0.5,,0.25,0.25,0.3125,0.6842105263157894,0.6842105263157894,,,U,GT3,T,services,services,reputation,mother,no,,no,,yes,yes,,14.0
0.1428571428571428,,,0.6666666666666667,0.3333333333333333,0.0,1.0,0.5,0.25,0.0,0.0,0.75,,,0.7368421052631579,GP,F,,,,,other,,mother,yes,,no,yes,,yes,no,14.0
,0.75,0.5,,0.0,1.0,1.0,,1.0,,,,,,,GP,,,GT3,T,services,,,,,,,,,yes,,
0.1428571428571428,1.0,,0.0,0.0,,0.5,0.0,,,0.5,1.0,,,,GP,M,,LE3,T,,,home,father,no,no,,yes,yes,,,
,,,,,0.0,0.75,0.75,0.0,0.0,,0.0,0.0,0.631578947368421,0.6842105263157894,,,,GT3,T,,other,reputation,,,,,,,,,14.0
,1.0,1.0,0.0,,,1.0,0.75,0.25,,,1.0,0.0,0.5789473684210527,0.631578947368421,,M,,,T,health,,,father,,yes,,no,yes,,,
,1.0,,0.0,,0.0,0.75,1.0,0.0,0.0,,1.0,0.0,0.631578947368421,,GP,M,,,T,teacher,other,,mother,,,,yes,yes,yes,,14.0
,0.5,0.5,,0.3333333333333333,,1.0,0.75,,0.25,,1.0,0.0625,0.5263157894736842,,GP,M,,,T,other,other,reputation,mother,,,,yes,,yes,yes,10.0
,0.5,,0.0,,,0.75,,,0.0,0.0,1.0,0.0625,0.5263157894736842,,,,R,GT3,T,services,health,,mother,yes,yes,,yes,yes,yes,yes,10.0
0.1428571428571428,,0.5,0.0,0.0,0.0,0.0,0.25,0.25,,0.5,1.0,,0.5263157894736842,0.5789473684210527,GP,F,,,,services,,,,no,yes,,,no,yes,,12.0
,,0.5,0.0,0.0,,0.75,0.25,,0.0,,1.0,,0.5789473684210527,,GP,M,U,,T,,other,,,,yes,no,,yes,yes,yes,12.0
0.0,1.0,,,0.0,0.0,,,0.75,0.25,,,0.0,0.5789473684210527,,,,U,,,health,,other,,,,no,no,yes,,yes,
,0.75,,,,,,0.5,0.5,0.0,0.0,,,,0.631578947368421,,M,U,LE3,A,,other,home,,yes,yes,yes,yes,yes,,,13.0
0.1428571428571428,,,0.0,0.3333333333333333,0.0,,,,1.0,,1.0,,0.631578947368421,0.5789473684210527,GP,,,,T,teacher,teacher,home,mother,,yes,yes,,yes,,,12.0
,1.0,,,,,1.0,,0.25,0.5,0.75,1.0,0.0,,,,M,,GT3,T,,services,,,no,yes,yes,no,,yes,yes,11.0
,1.0,,,0.3333333333333333,,0.75,0.5,,0.0,0.0,1.0,0.0625,0.7894736842105263,0.7894736842105263,GP,,U,,T,services,,reputation,mother,,yes,no,,yes,,yes,15.0
0.0,1.0,0.75,0.0,,0.0,,1.0,,,,1.0,,0.6842105263157894,,,M,R,,T,teacher,at_home,,,no,,no,yes,yes,yes,yes,
0.0,0.75,0.75,0.0,0.3333333333333333,0.0,1.0,0.5,0.25,0.0,,,,,,,,,LE3,T,,other,,mother,no,,no,yes,no,yes,yes,
0.1428571428571428,,0.5,0.0,0.0,0.0,,,,,0.0,,,0.631578947368421,0.631578947368421,GP,M,,,T,other,,home,,,yes,no,no,,yes,,
0.0,0.5,0.75,0.3333333333333333,0.0,0.0,,1.0,,,0.0,1.0,,,0.5789473684210527,,F,U,GT3,T,other,,other,father,,yes,no,yes,yes,yes,no,11.0
0.0,1.0,0.75,0.0,,0.0,1.0,,0.5,,,0.75,,0.7368421052631579,0.7368421052631579,GP,,,LE3,T,teacher,,home,mother,no,,no,yes,yes,,yes,14.0
,1.0,1.0,,,0.0,,0.75,,0.0,,1.0,0.125,0.6842105263157894,0.6842105263157894,,M,,,,other,teacher,reputation,mother,,yes,no,yes,,yes,yes,
,0.75,1.0,,0.6666666666666667,,0.75,0.5,0.25,0.0,,,0.0625,0.5789473684210527,0.631578947368421,,,,GT3,,services,health,course,,yes,yes,no,yes,yes,yes,,
0.0,0.5,0.5,0.0,,,0.75,0.5,,0.0,,0.25,,0.7368421052631579,,GP,,,,T,at_home,,reputation,mother,yes,,no,,,yes,,12.0
0.1428571428571428,0.5,0.5,,,0.0,,,,,,,0.5,0.5789473684210527,0.5789473684210527,,,,LE3,T,,other,,mother,no,yes,no,yes,,yes,,10.0
0.0,1.0,1.0,0.0,0.0,0.0,,,,,0.75,,0.25,,,GP,M,U,LE3,T,,other,home,other,,yes,,,,yes,yes,11.0
0.0,1.0,,,0.3333333333333333,,0.75,0.5,0.5,0.0,0.0,1.0,0.0,0.7368421052631579,,GP,M,,GT3,T,services,,course,father,,,no,,yes,yes,,15.0
0.0,0.5,,0.0,,,1.0,,0.0,,0.0,,0.0,0.47368421052631576,,,,U,,T,services,,course,father,,,,no,yes,yes,yes,10.0
