,V1,V3,V7,V9,V12,V13
partner_nodes,"['V1', 'V13']","['V3', 'V1']","['V7', 'V6']","['V9', 'V8']","['V12', 'V1']","['V13', 'V11']"
excluded_partners,[],[],[],[],[],[]
median_imputed_partners,[],[],[],[],[],[]
median_fallback_count,1,0,0,0,0,0
median_value,0.0105891874253306,,,,,
total_missing,1,4539,1,1,4395,1
model_predictions,0,4539,1,1,4395,1
model_training_attempts,0,1,1,1,1,1
selected_partners,"['V1', 'V13']","['V3', 'V1']","['V7', 'V6']","['V9', 'V8']","['V12', 'V1']","['V13', 'V11']"
imputability_ratio,0.0,1.0,1.0,1.0,1.0,1.0
