,V1,V24,V25,V27,V29,V30,V31,V32,V33,V34,V36,V37,V38,V22,V21,V10,V3,V7,V8,V9,V11,V12,V13,V14,V15,V16,V17,V18,V40
partner_nodes,"['V1', 'V27', 'V15', 'V39', 'V13', 'V36', 'V6', 'V23']","['V24', 'V29', 'V39', 'V36', 'V3', 'V13', 'V22', 'V17']","['V25', 'V3', 'V33', 'V36', 'V22', 'V39', 'V17', 'V7']","['V27', 'V15', 'V1', 'V23', 'V13', 'V39', 'V7', 'V36']","['V29', 'V24', 'V36', 'V39', 'V3', 'V22', 'V13', 'V8']","['V30', 'V10', 'V16', 'V37', 'V17', 'V20', 'V15', 'V13']","['V31', 'V14', 'V13', 'V10', 'V16', 'V9', 'V15', 'V30']","['V32', 'V23', 'V6', 'V27', 'V1', 'V15', 'V12', 'V9']","['V33', 'V7', 'V8', 'V36', 'V23', 'V39', 'V27', 'V5']","['V34', 'V38', 'V11', 'V5', 'V35', 'V20', 'V26', 'V4']","['V36', 'V39', 'V3', 'V13', 'V22', 'V27', 'V1', 'V7']","['V37', 'V17', 'V10', 'V2', 'V30', 'V16', 'V20', 'V35']","['V38', 'V34', 'V11', 'V5', 'V35', 'V20', 'V4', 'V26']","['V22', 'V8', 'V36', 'V39', 'V7', 'V23', 'V3', 'V33']","['V21', 'V6', 'V17', 'V37', 'V1', 'V2', 'V39', 'V36']","['V10', 'V16', 'V30', 'V37', 'V17', 'V31', 'V14', 'V15']","['V3', 'V36', 'V39', 'V25', 'V22', 'V13', 'V17', 'V24']","['V7', 'V33', 'V8', 'V23', 'V27', 'V36', 'V39', 'V22']","['V8', 'V23', 'V7', 'V22', 'V27', 'V33', 'V36', 'V39']","['V9', 'V14', 'V6', 'V18', 'V31', 'V2', 'V1', 'V21']","['V11', 'V5', 'V34', 'V38', 'V20', 'V33', 'V35', 'V23']","['V12', 'V22', 'V32', 'V3', 'V23', 'V9', 'V36', 'V6']","['V13', 'V39', 'V15', 'V36', 'V27', 'V1', 'V31', 'V7']","['V14', 'V31', 'V9', 'V18', 'V2', 'V10', 'V16', 'V30']","['V15', 'V27', 'V13', 'V1', 'V39', 'V23', 'V36', 'V16']","['V16', 'V10', 'V30', 'V15', 'V13', 'V1', 'V27', 'V39']","['V17', 'V37', 'V10', 'V30', 'V36', 'V2', 'V3', 'V39']","['V18', 'V14', 'V9', 'V2', 'V35', 'V10', 'V31', 'V38']","['V40', 'V16', 'V30', 'V10', 'V13', 'V7', 'V15', 'V27']"
excluded_partners,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
median_imputed_partners,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
median_fallback_count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
median_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total_missing,110,8,14,90,2,4,11,1,37,6,3,12,22,91,2,3,16,28,13,23,9,103,25,80,115,1,69,95,2
model_predictions,110,8,14,90,2,4,11,1,37,6,3,12,22,91,2,3,16,28,13,23,9,103,25,80,115,1,69,95,2
model_training_attempts,4,2,2,5,1,2,4,1,3,2,2,2,2,2,1,1,2,1,1,3,1,1,2,2,1,1,1,1,1
selected_partners,"['V1', 'V27', 'V15', 'V39', 'V13', 'V36', 'V6', 'V23']","['V24', 'V29', 'V39', 'V36', 'V3', 'V13', 'V22', 'V17']","['V25', 'V3', 'V33', 'V36', 'V22', 'V39', 'V17', 'V7']","['V27', 'V15', 'V1', 'V23', 'V13', 'V39', 'V7', 'V36']","['V29', 'V24', 'V36', 'V39', 'V3', 'V22', 'V13', 'V8']","['V30', 'V10', 'V16', 'V37', 'V17', 'V20', 'V15', 'V13']","['V31', 'V14', 'V13', 'V10', 'V16', 'V9', 'V15', 'V30']","['V32', 'V23', 'V6', 'V27', 'V1', 'V15', 'V12', 'V9']","['V33', 'V7', 'V8', 'V36', 'V23', 'V39', 'V27', 'V5']","['V34', 'V38', 'V11', 'V5', 'V35', 'V20', 'V26', 'V4']","['V36', 'V39', 'V3', 'V13', 'V22', 'V27', 'V1', 'V7']","['V37', 'V17', 'V10', 'V2', 'V30', 'V16', 'V20', 'V35']","['V38', 'V34', 'V11', 'V5', 'V35', 'V20', 'V4', 'V26']","['V22', 'V8', 'V36', 'V39', 'V7', 'V23', 'V3', 'V33']","['V21', 'V6', 'V17', 'V37', 'V1', 'V2', 'V39', 'V36']","['V10', 'V16', 'V30', 'V37', 'V17', 'V31', 'V14', 'V15']","['V3', 'V36', 'V39', 'V25', 'V22', 'V13', 'V17', 'V24']","['V7', 'V33', 'V8', 'V23', 'V27', 'V36', 'V39', 'V22']","['V8', 'V23', 'V7', 'V22', 'V27', 'V33', 'V36', 'V39']","['V9', 'V14', 'V6', 'V18', 'V31', 'V2', 'V1', 'V21']","['V11', 'V5', 'V34', 'V38', 'V20', 'V33', 'V35', 'V23']","['V12', 'V22', 'V32', 'V3', 'V23', 'V9', 'V36', 'V6']","['V13', 'V39', 'V15', 'V36', 'V27', 'V1', 'V31', 'V7']","['V14', 'V31', 'V9', 'V18', 'V2', 'V10', 'V16', 'V30']","['V15', 'V27', 'V13', 'V1', 'V39', 'V23', 'V36', 'V16']","['V16', 'V10', 'V30', 'V15', 'V13', 'V1', 'V27', 'V39']","['V17', 'V37', 'V10', 'V30', 'V36', 'V2', 'V3', 'V39']","['V18', 'V14', 'V9', 'V2', 'V35', 'V10', 'V31', 'V38']","['V40', 'V16', 'V30', 'V10', 'V13', 'V7', 'V15', 'V27']"
imputability_ratio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
